Filename,Touches
app/core/src/main/java/com/fsck/k9/K9.kt,71
app/core/src/main/java/com/fsck/k9/preferences/GeneralSettingsDescriptions.java,6
app/core/src/main/java/com/fsck/k9/preferences/Settings.java,40
app/storage/src/main/java/com/fsck/k9/preferences/K9StoragePersister.java,23
app/storage/src/main/java/com/fsck/k9/preferences/migrations/StorageMigrationTo13.kt,2
app/storage/src/main/java/com/fsck/k9/preferences/migrations/StorageMigrations.kt,19
app/ui/legacy/src/main/java/com/fsck/k9/activity/MessageListActivityAppearance.kt,6
app/ui/legacy/src/main/java/com/fsck/k9/ui/settings/general/GeneralSettingsDataStore.kt,6
app/ui/legacy/src/main/res/xml/general_settings.xml,2
app/ui/legacy/src/main/java/com/fsck/k9/activity/setup/AccountSetupBasics.java,15
app/ui/legacy/src/main/java/com/fsck/k9/activity/setup/AccountSetupIncoming.java,17
app/ui/legacy/src/main/java/com/fsck/k9/view/ClientCertificateSpinner.java,4
app/ui/legacy/src/main/res/layout/account_setup_basics.xml,4
app/ui/legacy/src/main/res/layout/account_setup_incoming.xml,4
app/ui/legacy/src/main/res/layout/account_setup_outgoing.xml,4
app/ui/legacy/src/main/res/layout/client_certificate_spinner.xml,2
app/core/src/main/java/com/fsck/k9/KoinModule.kt,29
app/core/src/main/java/com/fsck/k9/LocalKeyStoreManager.kt,8
app/core/src/main/java/com/fsck/k9/ServerSettingsSerializer.kt,3
app/core/src/main/java/com/fsck/k9/backend/BackendFactory.kt,7
app/core/src/main/java/com/fsck/k9/backend/BackendManager.kt,14
app/core/src/main/java/com/fsck/k9/mailstore/SpecialFolderUpdater.kt,24
app/core/src/main/java/com/fsck/k9/mailstore/SpecialLocalFoldersCreator.kt,10
app/core/src/main/java/com/fsck/k9/notification/CoreKoinModule.kt,30
app/core/src/main/java/com/fsck/k9/preferences/KoinModule.kt,8
app/core/src/main/java/com/fsck/k9/preferences/SettingsExporter.kt,16
app/core/src/main/java/com/fsck/k9/preferences/SettingsImporter.java,39
app/core/src/test/java/com/fsck/k9/ServerSettingsSerializerTest.kt,2
app/core/src/test/java/com/fsck/k9/preferences/SettingsExporterTest.kt,11
app/core/src/test/java/com/fsck/k9/preferences/SettingsImporterTestExtra.kt,13
app/k9mail-jmap/src/main/java/com/fsck/k9/backends/ImapBackendFactory.kt,9
app/k9mail-jmap/src/main/java/com/fsck/k9/backends/JmapAccountCreator.kt,10
app/k9mail-jmap/src/main/java/com/fsck/k9/backends/JmapBackendFactory.kt,9
app/k9mail-jmap/src/main/java/com/fsck/k9/backends/Pop3BackendFactory.kt,7
app/k9mail-jmap/src/main/java/com/fsck/k9/backends/WebDavBackendFactory.kt,9
app/k9mail/src/main/java/com/fsck/k9/backends/ImapBackendFactory.kt,23
app/k9mail/src/main/java/com/fsck/k9/backends/Pop3BackendFactory.kt,21
app/k9mail/src/main/java/com/fsck/k9/backends/WebDavBackendFactory.kt,20
app/storage/src/main/java/com/fsck/k9/preferences/migrations/StorageMigrationTo12.kt,2
app/storage/src/main/java/com/fsck/k9/storage/migrations/MigrationTo65.kt,6
app/storage/src/main/java/com/fsck/k9/storage/migrations/MigrationTo76.kt,4
app/storage/src/test/java/com/fsck/k9/storage/StoreSchemaDefinitionTest.java,16
app/storage/src/test/java/com/fsck/k9/storage/TestApp.kt,11
app/ui/legacy/src/main/java/com/fsck/k9/activity/setup/AccountSetupAccountType.kt,10
app/ui/legacy/src/main/java/com/fsck/k9/activity/setup/AccountSetupCheckSettings.java,7
app/ui/legacy/src/main/java/com/fsck/k9/ui/settings/KoinModule.kt,4
backend/imap/src/main/java/com/fsck/k9/backend/imap/ImapStoreUriCreator.java,8
backend/imap/src/test/java/com/fsck/k9/backend/imap/ImapStoreUriTest.java,10
backend/pop3/src/main/java/com/fsck/k9/backend/pop3/Pop3StoreUriCreator.java,8
backend/pop3/src/test/java/com/fsck/k9/backend/pop3/Pop3StoreUriCreatorTest.java,6
backend/pop3/src/test/java/com/fsck/k9/backend/pop3/Pop3StoreUriDecoderTest.java,4
backend/webdav/src/main/java/com/fsck/k9/backend/webdav/WebDavStoreUriCreator.java,10
backend/webdav/src/test/java/com/fsck/k9/backend/webdav/WebDavStoreUriCreatorTest.java,6
mail/protocols/smtp/src/main/java/com/fsck/k9/mail/transport/smtp/SmtpTransportUriCreator.java,6
mail/protocols/smtp/src/test/java/com/fsck/k9/mail/transport/smtp/SmtpTransportUriCreatorTest.java,6
mail/protocols/smtp/src/test/java/com/fsck/k9/mail/transport/smtp/SmtpTransportUriDecoderTest.java,4
backend/imap/src/main/java/com/fsck/k9/backend/imap/ImapStoreUriDecoder.java,7
backend/webdav/src/main/java/com/fsck/k9/backend/webdav/WebDavStoreUriDecoder.java,4
mail/common/src/main/java/com/fsck/k9/mail/ServerSettings.java,10
mail/common/src/main/java/com/fsck/k9/mail/ServerSettings.kt,3
mail/protocols/imap/src/main/java/com/fsck/k9/mail/store/imap/ImapStore.java,42
mail/protocols/imap/src/main/java/com/fsck/k9/mail/store/imap/ImapStoreSettings.java,8
mail/protocols/imap/src/main/java/com/fsck/k9/mail/store/imap/ImapStoreSettings.kt,3
mail/protocols/imap/src/test/java/com/fsck/k9/mail/store/imap/ImapStoreTest.java,28
mail/protocols/webdav/src/main/java/com/fsck/k9/mail/store/webdav/WebDavStore.java,26
mail/protocols/webdav/src/main/java/com/fsck/k9/mail/store/webdav/WebDavStoreSettings.java,11
mail/protocols/webdav/src/main/java/com/fsck/k9/mail/transport/WebDavTransport.java,12
mail/protocols/webdav/src/test/java/com/fsck/k9/mail/store/webdav/WebDavStoreTest.java,20
app/autodiscovery/providersxml/src/main/java/com/fsck/k9/autodiscovery/providersxml/KoinModule.kt,4
app/autodiscovery/providersxml/src/main/java/com/fsck/k9/autodiscovery/providersxml/ProvidersXmlDiscovery.kt,6
app/autodiscovery/providersxml/src/main/res/xml/providers.xml,6
app/autodiscovery/providersxml/src/test/java/com/fsck/k9/autodiscovery/providersxml/ProvidersXmlDiscoveryTest.kt,6
app/core/src/main/java/com/fsck/k9/controller/MessagingController.java,204
app/ui/legacy/src/main/java/com/fsck/k9/activity/compose/RecipientLoader.java,11
app/ui/legacy/src/main/res/values/ids.xml,8
app/k9mail-jmap/src/main/java/com/fsck/k9/notification/K9NotificationResourceProvider.kt,7
app/k9mail/src/main/java/com/fsck/k9/notification/K9NotificationResourceProvider.kt,9
app/k9mail/src/main/res/layout/message_list_widget_layout.xml,5
app/ui/legacy/src/main/res/drawable-anydpi/ic_account_dark.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_account_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_account_plus_dark.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_account_plus_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_alert_octagon_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_archive_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_arrow_up_down_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_attachment_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_bug_dark.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_check_circle_dark.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_check_circle_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_chevron_down_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_chevron_left_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_chevron_right_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_chevron_up_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_clear_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_cog_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_content_copy_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_drafts_folder_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_envelope_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_error_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_file_upload_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_floppy_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_folder_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_folder_magnify_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_inbox_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_inbox_multiple_dark.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_inbox_multiple_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_info_outline_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_key_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_magnify_cloud_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_magnify_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_not_imported_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_notifications_light.xml,4
app/ui/legacy/src/main/res/drawable-anydpi/ic_outbox_light.xml,3
app/ui/legacy/src/main/res/drawable-anydpi/ic_person_plus_light.xml,3
app/ui/legacy/src/main/res/drawable-anydpi/ic_plus_dark.xml,3
app/ui/legacy/src/main/res/drawable-anydpi/ic_refresh_light.xml,3
app/ui/legacy/src/main/res/drawable-anydpi/ic_reply_all_light.xml,2
app/ui/legacy/src/main/res/drawable-anydpi/ic_select_all_light.xml,2
app/ui/legacy/src/main/res/drawable-anydpi/ic_send_light.xml,2
app/ui/legacy/src/main/res/drawable-anydpi/ic_shield_light.xml,2
app/ui/legacy/src/main/res/drawable-anydpi/ic_sort_light.xml,2
app/ui/legacy/src/main/res/drawable-anydpi/ic_star_border_light.xml,2
app/ui/legacy/src/main/res/drawable-anydpi/ic_star_light.xml,2
app/ui/legacy/src/main/res/drawable-anydpi/ic_touch_light.xml,2
app/ui/legacy/src/main/res/drawable-anydpi/ic_tv_light.xml,2
app/ui/legacy/src/main/res/drawable-anydpi/notification_action_delete.xml,2
app/ui/legacy/src/main/res/drawable-anydpi/notification_action_mark_as_read.xml,2
app/ui/legacy/src/main/res/drawable-anydpi/notification_action_reply.xml,2
app/ui/legacy/src/main/res/drawable-anydpi/notification_icon_new_mail.xml,2
app/ui/legacy/src/main/res/drawable-anydpi/notification_icon_warning.xml,2
app/ui/legacy/src/main/res/drawable-hdpi/notification_icon_check_mail_anim_0.png,2
app/ui/legacy/src/main/res/drawable-hdpi/notification_icon_check_mail_anim_1.png,2
app/ui/legacy/src/main/res/drawable-hdpi/notification_icon_check_mail_anim_2.png,2
app/ui/legacy/src/main/res/drawable-hdpi/notification_icon_check_mail_anim_3.png,2
app/ui/legacy/src/main/res/drawable-hdpi/notification_icon_check_mail_anim_4.png,2
app/ui/legacy/src/main/res/drawable-hdpi/notification_icon_check_mail_anim_5.png,2
app/ui/legacy/src/main/res/drawable-mdpi/notification_icon_check_mail_anim_0.png,2
app/ui/legacy/src/main/res/drawable-mdpi/notification_icon_check_mail_anim_1.png,2
app/ui/legacy/src/main/res/drawable-mdpi/notification_icon_check_mail_anim_2.png,2
